series_id,year,period,value
SMS18000006500000001,1996,M01,304.4
SMS18000006500000001,1996,M02,305.2
SMS18000006500000001,1996,M03,306.6
SMS18000006500000001,1996,M04,306.6
SMS18000006500000001,1996,M05,306.9
SMS18000006500000001,1996,M06,307.4
SMS18000006500000001,1996,M07,308.8
SMS18000006500000001,1996,M08,309.8
SMS18000006500000001,1996,M09,314.6
SMS18000006500000001,1996,M10,313.6
SMS18000006500000001,1996,M11,315.0
SMS18000006500000001,1996,M12,315.7
SMS18000006500000001,1997,M01,314.6
SMS18000006500000001,1997,M02,316.2
SMS18000006500000001,1997,M03,317.0
SMS18000006500000001,1997,M04,315.5
SMS18000006500000001,1997,M05,316.0
SMS18000006500000001,1997,M06,316.6
SMS18000006500000001,1997,M07,315.9
SMS18000006500000001,1997,M08,316.5
SMS18000006500000001,1997,M09,317.3
SMS18000006500000001,1997,M10,317.6
SMS18000006500000001,1997,M11,317.9
SMS18000006500000001,1997,M12,318.2
SMS18000006500000001,1998,M01,319.6
SMS18000006500000001,1998,M02,320.2
SMS18000006500000001,1998,M03,320.5
SMS18000006500000001,1998,M04,320.9
SMS18000006500000001,1998,M05,321.9
SMS18000006500000001,1998,M06,321.9
SMS18000006500000001,1998,M07,321.2
SMS18000006500000001,1998,M08,322.3
SMS18000006500000001,1998,M09,321.3
SMS18000006500000001,1998,M10,323.2
SMS18000006500000001,1998,M11,324.4
SMS18000006500000001,1998,M12,325.0
SMS18000006500000001,1999,M01,321.3
SMS18000006500000001,1999,M02,322.4
SMS18000006500000001,1999,M03,322.9
SMS18000006500000001,1999,M04,325.0
SMS18000006500000001,1999,M05,325.5
SMS18000006500000001,1999,M06,325.2
SMS18000006500000001,1999,M07,326.5
SMS18000006500000001,1999,M08,326.6
SMS18000006500000001,1999,M09,326.8
SMS18000006500000001,1999,M10,329.5
SMS18000006500000001,1999,M11,330.5
SMS18000006500000001,1999,M12,331.2
SMS18000006500000001,2000,M01,328.7
SMS18000006500000001,2000,M02,327.9
SMS18000006500000001,2000,M03,329.1
SMS18000006500000001,2000,M04,330.0
SMS18000006500000001,2000,M05,331.8
SMS18000006500000001,2000,M06,331.6
SMS18000006500000001,2000,M07,333.5
SMS18000006500000001,2000,M08,334.8
SMS18000006500000001,2000,M09,331.1
SMS18000006500000001,2000,M10,330.2
SMS18000006500000001,2000,M11,330.1
