series_id,year,period,value
LASST170000000000003,1996,M01,5.3
LASST170000000000003,1996,M02,5.3
LASST170000000000003,1996,M03,5.4
LASST170000000000003,1996,M04,5.4
LASST170000000000003,1996,M05,5.4
LASST170000000000003,1996,M06,5.4
LASST170000000000003,1996,M07,5.4
LASST170000000000003,1996,M08,5.3
LASST170000000000003,1996,M09,5.2
LASST170000000000003,1996,M10,5.2
LASST170000000000003,1996,M11,5.1
LASST170000000000003,1996,M12,5.1
LASST170000000000003,1997,M01,5.1
LASST170000000000003,1997,M02,5.0
LASST170000000000003,1997,M03,4.9
LASST170000000000003,1997,M04,4.8
LASST170000000000003,1997,M05,4.7
LASST170000000000003,1997,M06,4.6
LASST170000000000003,1997,M07,4.6
LASST170000000000003,1997,M08,4.6
LASST170000000000003,1997,M09,4.7
LASST170000000000003,1997,M10,4.8
LASST170000000000003,1997,M11,4.8
LASST170000000000003,1997,M12,4.8
LASST170000000000003,1998,M01,4.8
LASST170000000000003,1998,M02,4.7
LASST170000000000003,1998,M03,4.5
LASST170000000000003,1998,M04,4.4
LASST170000000000003,1998,M05,4.3
LASST170000000000003,1998,M06,4.3
LASST170000000000003,1998,M07,4.4
LASST170000000000003,1998,M08,4.5
LASST170000000000003,1998,M09,4.5
LASST170000000000003,1998,M10,4.5
LASST170000000000003,1998,M11,4.4
LASST170000000000003,1998,M12,4.3
LASST170000000000003,1999,M01,4.2
LASST170000000000003,1999,M02,4.2
LASST170000000000003,1999,M03,4.2
LASST170000000000003,1999,M04,4.3
LASST170000000000003,1999,M05,4.5
LASST170000000000003,1999,M06,4.6
LASST170000000000003,1999,M07,4.6
LASST170000000000003,1999,M08,4.6
LASST170000000000003,1999,M09,4.6
LASST170000000000003,1999,M10,4.5
LASST170000000000003,1999,M11,4.4
LASST170000000000003,1999,M12,4.4
LASST170000000000003,2000,M01,4.4
LASST170000000000003,2000,M02,4.4
LASST170000000000003,2000,M03,4.4
LASST170000000000003,2000,M04,4.4
LASST170000000000003,2000,M05,4.4
LASST170000000000003,2000,M06,4.4
LASST170000000000003,2000,M07,4.4
LASST170000000000003,2000,M08,4.4
LASST170000000000003,2000,M09,4.4
LASST170000000000003,2000,M10,4.5
LASST170000000000003,2000,M11,4.6
LASST170000000000003,2000,M12,4.8
LASST170000000000003,2001,M01,5.0
LASST170000000000003,2001,M02,5.1
LASST170000000000003,2001,M03,5.2
LASST170000000000003,2001,M04,5.2
LASST170000000000003,2001,M05,5.2
LASST170000000000003,2001,M06,5.3
LASST170000000000003,2001,M07,5.3
LASST170000000000003,2001,M08,5.4
LASST170000000000003,2001,M09,5.6
LASST170000000000003,2001,M10,5.8
