series_id,year,period,value
POP_IL,1996,M01,12440351
POP_IL,1997,M01,12440351
POP_IL,1998,M01,12440351
POP_IL,1999,M01,12440351
POP_IL,2000,M01,12440351
POP_IL,2001,M01,12440351
POP_IL,2002,M01,12440351
POP_IL,2003,M01,12440351
POP_IL,2004,M01,12440351
POP_IL,2005,M01,12440351
POP_IL,2006,M01,12831970
POP_IL,2007,M01,12852548
POP_IL,2008,M01,12901564
POP_IL,2009,M01,12910409
POP_IL,2010,M01,12843166
POP_IL,2011,M01,12869259
POP_IL,2012,M01,12875255
POP_IL,2013,M01,12882135
POP_IL,2014,M01,12880580
POP_IL,2015,M01,12859995
POP_IL,2016,M01,12801539
POP_IL,2017,M01,12802023
POP_IL,2018,M01,12741080
POP_IL,2019,M01,12671821
POP_IL,2020,M01,12671645
POP_IL,2021,M01,12671469
POP_IL,2022,M01,12582032
POP_IL,2023,M01,12549689
POP_IL,2024,M01,12710158
