series_id,year,period,value
POP_IN,1996,M01,6093372
POP_IN,1997,M01,6093372
POP_IN,1998,M01,6093372
POP_IN,1999,M01,6093372
POP_IN,2000,M01,6093372
POP_IN,2001,M01,6093372
POP_IN,2002,M01,6093372
POP_IN,2003,M01,6093372
POP_IN,2004,M01,6093372
POP_IN,2005,M01,6093372
POP_IN,2006,M01,6313520
POP_IN,2007,M01,6345289
POP_IN,2008,M01,6376792
POP_IN,2009,M01,6423113
POP_IN,2010,M01,6490621
POP_IN,2011,M01,6516922
POP_IN,2012,M01,6537334
POP_IN,2013,M01,6570902
POP_IN,2014,M01,6596855
POP_IN,2015,M01,6619680
POP_IN,2016,M01,6633053
POP_IN,2017,M01,6666818
POP_IN,2018,M01,6691878
POP_IN,2019,M01,6732219
POP_IN,2020,M01,6769102
POP_IN,2021,M01,6805985
POP_IN,2022,M01,6833037
POP_IN,2023,M01,6862199
POP_IN,2024,M01,6924275
