series_id,year,period,value
POP_MI,1996,M01,9865583
POP_MI,1997,M01,9865583
POP_MI,1998,M01,9865583
POP_MI,1999,M01,9865583
POP_MI,2000,M01,9865583
POP_MI,2001,M01,9865583
POP_MI,2002,M01,9865583
POP_MI,2003,M01,9865583
POP_MI,2004,M01,9865583
POP_MI,2005,M01,9865583
POP_MI,2006,M01,10095643
POP_MI,2007,M01,10071822
POP_MI,2008,M01,10003422
POP_MI,2009,M01,9969727
POP_MI,2010,M01,9877574
POP_MI,2011,M01,9876187
POP_MI,2012,M01,9883360
POP_MI,2013,M01,9895622
POP_MI,2014,M01,9909877
POP_MI,2015,M01,9922576
POP_MI,2016,M01,9928300
POP_MI,2017,M01,9962311
POP_MI,2018,M01,9995915
POP_MI,2019,M01,9986857
POP_MI,2020,M01,10018834
POP_MI,2021,M01,10050811
POP_MI,2022,M01,10034118
POP_MI,2023,M01,10037261
POP_MI,2024,M01,10140459
