series_id,year,period,value
POP_MO,1996,M01,5631910
POP_MO,1997,M01,5631910
POP_MO,1998,M01,5631910
POP_MO,1999,M01,5631910
POP_MO,2000,M01,5631910
POP_MO,2001,M01,5631910
POP_MO,2002,M01,5631910
POP_MO,2003,M01,5631910
POP_MO,2004,M01,5631910
POP_MO,2005,M01,5631910
POP_MO,2006,M01,5842713
POP_MO,2007,M01,5878415
POP_MO,2008,M01,5911605
POP_MO,2009,M01,5987580
POP_MO,2010,M01,5996231
POP_MO,2011,M01,6010688
POP_MO,2012,M01,6021988
POP_MO,2013,M01,6044171
POP_MO,2014,M01,6063589
POP_MO,2015,M01,6083672
POP_MO,2016,M01,6093000
POP_MO,2017,M01,6113532
POP_MO,2018,M01,6126452
POP_MO,2019,M01,6137428
POP_MO,2020,M01,6152807
POP_MO,2021,M01,6168187
POP_MO,2022,M01,6177957
POP_MO,2023,M01,6196156
POP_MO,2024,M01,6245466
