series_id,year,period,value
POP_NE,1996,M01,1706976
POP_NE,1997,M01,1706976
POP_NE,1998,M01,1706976
POP_NE,1999,M01,1706976
POP_NE,2000,M01,1706976
POP_NE,2001,M01,1706976
POP_NE,2002,M01,1706976
POP_NE,2003,M01,1706976
POP_NE,2004,M01,1706976
POP_NE,2005,M01,1706976
POP_NE,2006,M01,1768331
POP_NE,2007,M01,1774571
POP_NE,2008,M01,1783432
POP_NE,2009,M01,1796622
POP_NE,2010,M01,1830429
POP_NE,2011,M01,1842641
POP_NE,2012,M01,1855525
POP_NE,2013,M01,1868516
POP_NE,2014,M01,1881503
POP_NE,2015,M01,1896190
POP_NE,2016,M01,1907116
POP_NE,2017,M01,1920076
POP_NE,2018,M01,1929268
POP_NE,2019,M01,1934408
POP_NE,2020,M01,1949050
POP_NE,2021,M01,1963692
POP_NE,2022,M01,1967923
POP_NE,2023,M01,1978379
POP_NE,2024,M01,2005466
